"","symbol","concept","contexts","types","label"
0,"caesalpiniaPulcherrima","barbados","generalOrUnknown","Simulation","Barbados"
1,"calochortusNuttallii","utah","generalOrUnknown","Simulation","Utah"
2,"canadianRedEnsign","canada","generalOrUnknown","Simulation","Canada"
3,"candy","sixthWeddingAnniversaries","generalOrUnknown","AssociationSimulation","sixth wedding anniversaries"
4,"cane","kappaPsiKappa","heraldic","Simulation","Kappa Psi Kappa"
5,"cashewnut","nalakuvara","hindu","Simulation","Nalakuvara"
6,"cassandra","unheededProphet","greek","Simulation","unheeded prophet"
7,"cassava","yCahu","taíno","Simulation","Yúcahu"
8,"catfish","partialSpiritualInsightOrDevelopment","generalOrUnknown","Simulation","partial spiritual insight or development"
9,"cauldron","bran","celtic","AttributeSimulation","Bran"
10,"cauldron","cannibals","generalOrUnknown","AssociationSimulation","cannibals"
11,"carnival","theDesireToConcentrateAllThePossibilitiesOfExistenceInAGivenPeriodOfTime","generalOrUnknown","Simulation","the desire to concentrate all the possibilities of existence in a given period of time"
12,"carnival","theDesperateQuestForAWayOutOfTime","generalOrUnknown","Simulation","the desperate quest for a way out of time"
13,"cauldron","containerForTortureAndCapitalPunishment","chinese","Simulation","container for torture and capital punishment"
14,"cauldron","fausta","christian","AttributeSimulation","Fausta"
15,"cauldron","keridwen","welsh","AttributeSimulation","Keridwen"
16,"cauldron","magicVesselOfRejuvenation","generalOrUnknown","Simulation","magic vessel of rejuvenation"
17,"cauldron","realmOfRebirth","generalOrUnknown","Simulation","realm of rebirth"
18,"cauldron","receptacleForOfferings","chinese","Simulation","receptacle for offerings"
19,"cauldron","reproductiveEarthPowers","celtic","Simulation","reproductive earth powers"
20,"cauldron","restoresWarriorsToLife","celtic","Simulation","restores warriors to life"
21,"cauldron","resuscitation","celtic","Simulation","resuscitation"
22,"cauldron","sustenance","generalOrUnknown","Simulation","sustenance"
23,"cauldron","theCornucopia","celtic","CorrespondenceSimulation","the cornucopia"
24,"cauldron","theGrail","generalOrUnknown","Simulation","the Grail"
25,"cauldron","vitus","christian","AttributeSimulation","Vitus"
26,"cave","entranceToTheOtherWorld","celtic","Simulation","entrance to the other-world"
27,"cave","gateToTheUnderworld","chinese","Simulation","gate to the Underworld"
28,"cave","homeOfGnomesRobbersMonsters","generalOrUnknown","Simulation","home of gnomes, robbers, monsters"
29,"cave","meetingPlaceOfTheDivineAndHuman","generalOrUnknown","Simulation","meeting place of the divine and human"
30,"cave","passagewayBetweenEarthAndHeaven","generalOrUnknown","Simulation","passageway between Earth and heaven"
31,"cave","placeOfEarthlyEnergy","generalOrUnknown","Simulation","place of earthly energy"
32,"cave","placeOfUnionOfSelfAndEgo","generalOrUnknown","Simulation","place of union of Self and Ego"
